Name1	Name2	Edge type	Edge weight
AP1S1	AP1S1	1	0.9999999999999996
AP2A1	AP2A1	1	1.0
AP2M1	AP2M1	1	1.005399535110457
AP2M1	ENST00000037243.2	2	-0.06015552636270562
AP2M1	ENST00000229794.4	2	0.04239182263141317
AP2S1	AP2S1	1	0.9999999999999998
AP3B1	AP3B1	1	1.000640095779656
AP3B1	ENST00000194214.5	2	-0.01741708441681211
AP3B1	ENST00000248975.5	2	-0.018356099118594118
AP3D1	AP3D1	1	1.0
AP3M1	AP3M1	1	0.9999999999999998
AP3M2	AP3M2	1	1.000241733174864
AP4B1	AP4B1	1	1.003299942575307
AP4B1	ATP2C1	1	-0.02319733920794648
AP5M1	AP5M1	1	1.000106714106489
AP5M1	ATXN7L1	1	-0.003773186265413953
APBA2	APBA2	1	1.0182597400047029
APBA2	APBB1	1	-0.07679091901883177
APBA2	ATP10A	1	-0.09607271471345884
APBA2	ATP2B1	1	0.04260212766531263
APBA3	APBA3	1	0.9999999999999998
APBB1	APBB1	1	1.021201922123999
APBB1	ATG9B	1	-0.05789947891927361
APBB1	ATP6V0E2	1	-0.057603933844926285
APBB1IP	APBB1IP	1	1.0085653691485161
APBB1IP	ATP2B4	1	-0.03247300755983085
APBB2	APBB2	1	1.0
APBB3	APBB3	1	1.01616860242248
APBB3	ATF3	1	-0.0963697045351718
APBB3	ATP2B1	1	-0.08375377465759698
APC	APC	1	1.0
APEH	APEH	1	1.081398698410376
APEH	ARFGAP2	1	-0.2761771149018639
APEH	ENST00000248929.9	2	-0.01919711075309255
APEX1	APEX1	1	1.0002521495981958
APEX1	APRT	1	-0.01588122091074973
APH1A	APH1A	1	1.002432887909003
APH1A	ARF5	1	-0.03654459248328668
APMAP	APMAP	1	1.036015771547899
APMAP	ENST00000217456.2	2	-0.1931654921255088
APOA1	APOA1	1	1.243243265275897
APOA1	APOA2	1	-0.06275072402661863
APOA1	APOC3	1	-0.1775287002663474
APOA1BP	APOA1BP	1	1.001830854958942
APOA1BP	APRT	1	-0.04282764281189139
APOA2	APOA2	1	1.288311766233337
APOA2	APOC3	1	-0.402878994086323
APOBEC3H	APOBEC3H	1	1.0001468838591892
APOBR	APOBR	1	1.0014729447157
APOC3	APOC3	1	1.3439999674581888
APOD	APOD	1	0.9999999999999998
APOM	APOM	1	0.9999999999999996
APP	APP	1	1.0045440909989742
APP	ATP6AP2	1	-0.061748799645485124
APPBP2	APPBP2	1	0.9999999999999998
APPL2	APPL2	1	1.0120570335030072
APPL2	ENST00000258530.3	2	0.110464499093144
APRT	APRT	1	1.033037923037913
APRT	ATRAID	1	-0.002084915010175159
APTX	APTX	1	1.000099620232862
APTX	ENST00000248901.6	2	-0.009981490723015407
AQP10	AQP10	1	1.060377896339741
AQP3	AQP3	1	1.0
AQP9	AQP9	1	1.0011148398910932
AQP9	ATP6V0B	1	-0.026497444696692633
AQP9	ATP6V0E1	1	-0.01785540671552288
AQR	AQR	1	1.166021439105597
AQR	ENST00000156471.5	2	0.4399824511821926
ARAF	ARAF	1	1.000323977345493
ARAF	ENST00000037243.2	2	-0.0180022861551844
ARAP1	ARAP1	1	1.017759706974455
ARAP1	ARAP3	1	-0.04756293311081894
ARAP1	ATG16L2	1	-0.1079873188955354
ARAP2	ARAP2	1	0.9999999999999998
ARAP3	ARAP3	1	1.004137272606715
ARAP3	ENST00000239440.4	2	0.02113977735290106
AREL1	AREL1	1	1.008435191921504
AREL1	ARHGEF18	1	-0.008231172019272981
AREL1	ENST00000053867.3	2	0.006675291768507646
ARF3	ARF3	1	1.018721984027133
ARF3	ENST00000160262.5	2	-0.01867249567644019
ARF3	ENST00000256682.4	2	0.1367882554744871
ARF5	ARF5	1	1.008988778290865
ARF5	ARPC4	1	-0.08661839745302753
ARF5	ENST00000000233.5	2	0.01441555831053846
ARFGAP1	ARFGAP1	1	1.000000000000001
ARFGAP2	ARFGAP2	1	1.079877267914187
ARFGAP2	ARRDC1	1	-0.009349848795932092
ARFGAP2	ENST00000248929.9	2	-0.012962503820880041
ARFGAP3	ARFGAP3	1	0.9999999999999996
ARFGEF1	ARFGEF1	1	0.9999999999999996
ARFGEF2	ARFGEF2	1	1.0
ARFIP1	ARFIP1	1	1.0
ARFRP1	ARFRP1	1	1.000001804593558
ARFRP1	ENST00000216455.4	2	0.0013433528258524339
ARG1	ARG1	1	1.000000830114379
ARGLU1	ARGLU1	1	1.001280408045845
ARHGAP12	ARHGAP12	1	0.9999999999999998
ARHGAP17	ARHGAP17	1	1.0048023360266358
ARHGAP17	ARID1A	1	-0.06946508805111201
